;refmc;t+10mcs;t-10mcs;afp+15;afp-15
440;23.37018928;10;35.00677938;14.03317043;26.58765078
441;22.40071714;15.1482828;31.4488417;19.42407268;29.70512571
442;37.18957634;39.23994538;40.02393955;43.53488839;37.2569756
443;19.64740026;10;27.75144595;10.00000146;26.55907186
444;22.75765249;10;31.64765692;10.00000005;26.91416514
445;23.36013758;10;34.84160612;15.91636859;28.71787162
446;16.80802878;10;33.67303498;13.43222104;28.68685173
447;21.44487768;10;30.88386177;10.43848534;29.43042015
448;19.51212946;10;31.35086783;10.04762507;28.58749773
449;24.16112521;21.79142528;33.02497605;23.96632326;30.96534803
450;24.97959208;19.04221378;33.25405857;17.1373985;32.9928745
451;28.21373532;20.54255977;35.92230436;21.74735343;31.77205593
452;42.31653381;44.29224272;40.2702801;43.28372269;39.41657118
453;40.48212855;39.03310945;37.82291764;43.80898788;36.34786449
454;31.29929419;28.70556283;33.38078954;29.5085324;34.88010601
455;19.60934094;10;33.47228901;12.62033697;27.31944555
456;37.10862924;42.23636696;42.6665562;44.52664834;32.63761175
457;38.36419146;37.3570451;33.85264895;39.54131158;34.71263788
458;29.37741992;10;34.49036348;14.49817788;30.36396972
459;21.31084977;10;31.99137254;10.11471392;27.61472964
460;17.80633797;10;33.07829223;10.20679629;27.97643891
461;28.62491356;27.11219809;41.27683284;26.66215522;33.5389269
462;21.94211638;10;31.03483406;10;30.87363842
